,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
35,601398.XSHG,601398,工商银行,XSHG,2007/7/20,5.43,5.43,5.45,5.65,5.44,5.6,414944448,2299649280,,0.0452,0.590025425,51412368000,1.87E+12,0.0313,,22.8982,3.7514,1,
36,601398.XSHG,601398,工商银行,XSHG,2007/7/23,5.6,5.6,5.72,5.91,5.72,5.75,572887870,3320754430,,0.0624,0.590025425,52789485000,1.92E+12,0.0268,,23.5115,3.8519,1,
37,601398.XSHG,601398,工商银行,XSHG,2007/7/24,5.75,5.75,5.76,5.83,5.67,5.69,324067904,1866739840,,0.0353,0.590025425,52238638200,1.90E+12,-0.0104,,23.2662,3.8117,1,
38,601398.XSHG,601398,工商银行,XSHG,2007/7/25,5.69,5.69,5.67,5.85,5.66,5.84,266417904,1535998590,,0.029,0.590025425,53615755200,1.95E+12,0.0264,,23.8795,3.9122,1,
39,601398.XSHG,601398,工商银行,XSHG,2007/7/26,5.84,5.84,5.84,5.88,5.71,5.77,251446736,1456884480,,0.0274,0.590025425,52973100600,1.93E+12,-0.012,,23.5933,3.8653,1,
40,601398.XSHG,601398,工商银行,XSHG,2007/7/27,5.77,5.77,5.69,5.74,5.63,5.67,285230272,1617942660,,0.0311,0.590025425,52055022600,1.89E+12,-0.0173,,23.1844,3.7983,1,
41,601398.XSHG,601398,工商银行,XSHG,2007/7/30,5.67,5.67,5.65,5.75,5.63,5.73,275464064,1571774340,,0.03,0.590025425,52605869400,1.91E+12,0.0106,,23.4297,3.8385,1,
42,601398.XSHG,601398,工商银行,XSHG,2007/7/31,5.73,5.73,5.7,5.81,5.68,5.74,253205552,1455639170,,0.0276,0.590025425,52697677200,1.92E+12,0.0017,,23.4706,3.8452,1,
43,601398.XSHG,601398,工商银行,XSHG,2007/8/1,5.74,5.74,5.75,5.77,5.5,5.53,294609408,1657370240,,0.0321,0.590025425,50769713400,1.85E+12,-0.0366,,22.6119,3.7045,1,
44,601398.XSHG,601398,工商银行,XSHG,2007/8/2,5.53,5.53,5.53,5.66,5.45,5.58,198202096,1104259710,,0.0216,0.590025425,51228752400,1.86E+12,0.009,,22.8164,3.738,1,
45,601398.XSHG,601398,工商银行,XSHG,2007/8/3,5.58,5.58,5.59,5.84,5.58,5.82,557861820,3221501440,,0.0608,0.590025425,53432139600,1.94E+12,0.043,,23.7977,3.8988,1,
46,601398.XSHG,601398,工商银行,XSHG,2007/8/6,5.82,5.82,5.88,5.92,5.73,5.8,301612544,1760248830,,0.0329,0.590025425,53248524000,1.94E+12,-0.0034,,23.716,3.8854,1,
47,601398.XSHG,601398,工商银行,XSHG,2007/8/7,5.8,5.8,5.81,5.84,5.71,5.8,279634752,1612701440,,0.0305,0.590025425,53248524000,1.94E+12,0,,23.716,3.8854,1,
48,601398.XSHG,601398,工商银行,XSHG,2007/8/8,5.8,5.8,5.81,6.38,5.81,6.37,1375365500,8593423400,,0.1498,0.590025425,58481568600,2.13E+12,0.0983,,26.0467,4.2672,1,
49,601398.XSHG,601398,工商银行,XSHG,2007/8/9,6.37,6.37,6.38,6.62,6.31,6.54,796375170,5151880700,,0.0867,0.590025425,60042301200,2.18E+12,0.0267,,26.7418,4.3811,1,
50,601398.XSHG,601398,工商银行,XSHG,2007/8/10,6.54,6.54,6.48,6.79,6.39,6.69,510828064,3358999040,,0.0556,0.590025425,61419418200,2.23E+12,0.0229,,27.3551,4.4816,1,
51,601398.XSHG,601398,工商银行,XSHG,2007/8/13,6.69,6.69,6.79,7.22,6.75,7.1,597967490,4176618750,,0.0651,0.590025425,65183538000,2.37E+12,0.0613,,29.0316,4.7562,1,
52,601398.XSHG,601398,工商银行,XSHG,2007/8/14,7.1,7.1,7.04,7.12,6.87,7.05,330949920,2311289090,,0.036,0.590025425,64724499000,2.35E+12,-0.007,,28.8272,4.7227,1,
53,601398.XSHG,601398,工商银行,XSHG,2007/8/15,7.05,7.05,7,7.25,6.92,7.09,370565632,2624424960,,0.0404,0.590025425,65091730200,2.37E+12,0.0057,,28.9907,4.7495,1,
54,601398.XSHG,601398,工商银行,XSHG,2007/8/16,7.09,7.09,7.08,7.08,6.66,6.77,386017248,2638028290,,0.042,0.590025425,62153880600,2.26E+12,-0.0451,,27.6822,4.5352,1,
55,601398.XSHG,601398,工商银行,XSHG,2007/8/17,6.77,6.77,6.69,6.77,6.43,6.46,596741440,3921886980,,0.065,0.590025425,59307838800,2.16E+12,-0.0458,,26.4147,4.3275,1,
56,601398.XSHG,601398,工商银行,XSHG,2007/8/20,6.46,6.46,6.68,7.11,6.65,7.09,527465152,3631065600,,0.0575,0.590025425,65091730200,2.37E+12,0.0975,,28.9907,4.7495,1,
57,601398.XSHG,601398,工商银行,XSHG,2007/8/21,7.09,7.09,7.1,7.14,6.99,7.04,385694080,2720531710,,0.042,0.590025425,64632691200,2.35E+12,-0.0071,,28.7863,4.716,1,
58,601398.XSHG,601398,工商银行,XSHG,2007/8/22,7.04,7.04,6.85,7.03,6.85,6.92,363603040,2520012290,,0.0396,0.590025425,63530997600,2.31E+12,-0.017,,28.2956,4.6356,1,
