,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
55,600036.XSHG,600036,招商银行,XSHG,2008-12-02,11.88,11.88,11.5,11.99,11.45,11.73,74413960,869603070,,0.0103,0.5127699971,84994946849.8,1.72515212919e+11,-0.0126,7.1076,6.8102,2.0641,1,
56,600036.XSHG,600036,招商银行,XSHG,2008-12-03,11.73,11.73,11.95,12.51,11.89,12.49,134816384,1649688190,,0.0186,0.5127699971,90501865827.3,1.8369266917e+11,0.0648,7.5681,7.2514,2.1978,1,
57,600036.XSHG,600036,招商银行,XSHG,2008-12-04,12.49,12.49,12.85,13.41,12.67,12.85,164456304,2147668990,,0.0227,0.5127699971,93110406395.6,1.88987253709e+11,0.0288,7.7862,7.4604,2.2612,1,
58,600036.XSHG,600036,招商银行,XSHG,2008-12-05,12.85,12.85,12.7,13.1,12.65,13.06,78144544,1011788990,,0.0108,0.5127699971,94632055060.4,1.92075761358e+11,0.0163,7.9135,7.5823,2.2981,1,
59,600036.XSHG,600036,招商银行,XSHG,2008-12-08,13.06,13.06,13.3,14.18,13.28,14.14,165646704,2277154050,,0.0229,0.5127699971,1.02457676765e+11,2.07959514977e+11,0.0827,8.5679,8.2094,2.4881,1,
60,600036.XSHG,600036,招商银行,XSHG,2008-12-09,14.14,14.14,14.19,14.2,13.4,13.48,131185672,1811476350,,0.0181,0.5127699971,97675352390.0,1.98252776654e+11,-0.0467,8.168,7.8262,2.372,1,
61,600036.XSHG,600036,招商银行,XSHG,2008-12-10,13.48,13.48,13.48,14.47,13.48,14.4,174990784,2457850620,,0.0242,0.5127699971,1.04341622731e+11,2.11783381589e+11,0.0682,8.7254,8.3603,2.5339,1,
62,600036.XSHG,600036,招商银行,XSHG,2008-12-11,14.4,14.4,14.17,14.41,13.78,14.01,114742176,1613404540,,0.0158,0.5127699971,1.01515703782e+11,2.06047581671e+11,-0.0271,8.4891,8.1339,2.4653,1,
63,600036.XSHG,600036,招商银行,XSHG,2008-12-12,14.01,14.01,13.75,13.86,12.93,13.16,122461024,1626433660,,0.0169,0.5127699971,95356649662.7,1.93546479285e+11,-0.0607,7.9741,7.6404,2.3157,1,
64,600036.XSHG,600036,招商银行,XSHG,2008-12-15,13.16,13.16,13.45,13.47,12.84,13.11,64688212,853164930,,0.0089,0.5127699971,94994352361.5,1.92811120321e+11,-0.0038,7.9438,7.6114,2.3069,1,
65,600036.XSHG,600036,招商银行,XSHG,2008-12-16,13.11,13.11,12.88,13.06,12.43,12.97,71263712,907689600,,0.0098,0.5127699971,93979919918.3,1.90752115223e+11,-0.0107,7.8589,7.5301,2.2823,1,
66,600036.XSHG,600036,招商银行,XSHG,2008-12-17,12.97,12.97,13.0,13.22,12.65,12.91,75069384,973944260,,0.0104,0.5127699971,93545163156.9,1.89869684466e+11,-0.0046,7.8226,7.4953,2.2717,1,
67,600036.XSHG,600036,招商银行,XSHG,2008-12-18,12.91,12.91,12.93,13.75,12.72,13.66,98875024,1320526460,,0.0136,0.5127699971,98979622674.2,2.00900068924e+11,0.0581,8.277,7.9307,2.4037,1,
68,600036.XSHG,600036,招商银行,XSHG,2008-12-19,13.66,13.66,13.54,14.2,13.45,13.74,105263824,1454918140,,0.0145,0.5127699971,99559298356.0,2.02076643266e+11,0.0059,8.3255,7.9771,2.4178,1,
